Narcolepsy
Generated by ADVANCE Code Mapper

History
Step, Arguments
vocabularies, ICD10, ICD10CM, ICD9CM, ICPC2P, RCD
semantic types, T020, T190, T049, T019, T047, T050, T033, T037, T048, T191, T046, T184, T007, T204, T004, T005
initial cuis, C0000503, C0001688, C0002667, C0002763, C0003289, C0003290, C0004048, C0004927, C0005745, C0007306, C0007384, C0007806, C0007807, C0008059, C0008489, C0009010, C0009392, C0009791, C0011155, C0013144, C0013470, C0013819, C0016365, C0016452, C0022107, C0022885, C0024485, C0025611, C0025810, C0026827, C0026841, C0026846, C0027404, C0027853, C0027868, C0034571, C0034580, C0034673, C0035203, C0036579, C0037313, C0037537, C0038894, C0038895, C0039712, C0041714, C0043012, C0043309, C0043479, C0066677, C0076823, C0078569, C0079460, C0080331, C0086143, C0150593, C0162701, C0162791, C0175668, C0203860, C0205487, C0205494, C0205653, C0221505, C0234146, C0234421, C0234533, C0234853, C0235195, C0235198, C0236993, C0240379, C0241442, C0282631, C0304402, C0305062, C0317909, C0331993, C0332287, C0376561, C0393040, C0424295, C0424522, C0427055, C0439092, C0439093, C0439297, C0441729, C0441795, C0441796, C0456947, C0456948, C0456949, C0460005, C0519186, C0524465, C0543467, C0549465, C0585022, C0600420, C0671870, C0680063, C0683525, C0694563, C0708013, C0746674, C0751226, C0751362, C0780681, C0813142, C0849912, C0851578, C0855247, C0856863, C0870935, C0871468, C0978477, C1080696, C1113688, C1176299, C1262869, C1274039, C1275743, C1280632, C1306645, C1415500, C1456240, C1457907, C1514307, C1521725, C1527908, C1551576, C1655045, C1708063, C1829025, C1834372, C1962945, C1965681, C2612629, C2700369, C2700617, C2707261, C2830004, C2911754, C3540512, C3541276, C3841822, C3845713
expand concept, C0851578, C0917801, C0037315, C0154565, C0917799, C0877792, C0028084, C0037672, C0338497, C0030508, C0037320, C0154572, C0037316, C0206085, C0021603, C0393761, C0020524, C1561892, C0154571, C0020681, C0159030, C0013373, C0021607, C2231106, C0236662, C0029645, C0751509, C0700201, C0476212, C0476211, C0456512, C0270543, C0338496, C0154564, C0393777, C0393757, C0020530, C0393775, C0393776

Concepts
Name, CUI, Vocabulary, Code
Blepharoptosis, C0005745, ICD10, H02.4
Sleep Disorders, C0851578, ICD10, G47
Sleep Disorders, C0851578, ICD10, G47.9
Sleep Apnea Syndromes, C0037315, ICD10, G47.3
Non-organic sleep disorder, C0154565, ICD10, F51
Non-organic sleep disorder, C0154565, ICD10, F51.9
"Sleep Disorders, Circadian Rhythm", C0877792, ICD10, G47.2
Nightmares, C0028084, ICD10, F51.5
Somnambulism, C0037672, ICD10, F51.3
Night Terrors, C0037320, ICD10, F51.4
Sleep Initiation and Maintenance Disorders, C0021603, ICD10, G47.0
Disorders of Excessive Somnolence, C0020524, ICD10, G47.1
Narcolepsy-Cataplexy Syndrome, C0751362, ICD10, G47.4
Neuromuscular Diseases, C0027868, ICD10, G70.9
Somnolence, C2830004, ICD10, R40.0
Other sleep disorders, C0236993, ICD10, G47.8
Blepharoptosis, C0005745, ICD10CM, H02.4
Blepharoptosis, C0005745, ICD10CM, H02.40
Blepharoptosis, C0005745, ICD10CM, H02.409
Sleep Disorders, C0851578, ICD10CM, G47
Sleep Disorders, C0851578, ICD10CM, G47.9
Sleeplessness, C0917801, ICD10CM, G47.0
Sleeplessness, C0917801, ICD10CM, G47.00
Sleep Apnea Syndromes, C0037315, ICD10CM, G47.3
Sleep Apnea Syndromes, C0037315, ICD10CM, G47.30
Hypersomnia, C0917799, ICD10CM, G47.1
Hypersomnia, C0917799, ICD10CM, G47.10
"Sleep Disorders, Circadian Rhythm", C0877792, ICD10CM, G47.2
"Sleep Disorders, Circadian Rhythm", C0877792, ICD10CM, G47.20
Nightmares, C0028084, ICD10CM, F51.5
Somnambulism, C0037672, ICD10CM, F51.3
Reversed sleep-wake cycle, C0338497, ICD10CM, G47.2
Parasomnia, C0030508, ICD10CM, G47.5
Parasomnia, C0030508, ICD10CM, G47.50
Night Terrors, C0037320, ICD10CM, F51.4
Sleep Deprivation, C0037316, ICD10CM, Z72.820
Kleine-Levin Syndrome, C0206085, ICD10CM, G47.13
Sleep related movement disorders, C2231106, ICD10CM, G47.6
Other insomnia, C0029645, ICD10CM, G47.09
Narcolepsy-Cataplexy Syndrome, C0751362, ICD10CM, G47.4
Narcolepsy-Cataplexy Syndrome, C0751362, ICD10CM, G47.411
Neuromuscular Diseases, C0027868, ICD10CM, G70.9
Narcolepsy, C0027404, ICD10CM, G47.41
Narcolepsy, C0027404, ICD10CM, G47.419
Facial Paresis, C0427055, ICD10CM, R29.810
Chorea, C0008489, ICD10CM, G25.5
Somnolence, C2830004, ICD10CM, R40.0
Other sleep disorders, C0236993, ICD10CM, G47.8
Narcolepsy without cataplexy, C1456240, ICD10CM, G47.419
Asleep, C0424522, ICD10CM, Y93.84
"Hypersomnia, Recurrent", C0751226, ICD10CM, G47.13
Generalized muscle weakness, C0746674, ICD10CM, M62.81
Blepharoptosis, C0005745, ICD9CM, 374.3
Blepharoptosis, C0005745, ICD9CM, 374.30
Sleeplessness, C0917801, ICD9CM, 780.52
Sleep Apnea Syndromes, C0037315, ICD9CM, 780.57
Non-organic sleep disorder, C0154565, ICD9CM, 307.40
Hypersomnia, C0917799, ICD9CM, 780.54
"Sleep Disorders, Circadian Rhythm", C0877792, ICD9CM, 327.3
Repetitive intrusions of sleep, C0154572, ICD9CM, 307.48
Organic sleep disorder, C1561892, ICD9CM, 327
Organic sleep disorder, C1561892, ICD9CM, 327-327.99
Other dysfunctions of sleep stages or arousal from sleep, C0154571, ICD9CM, 307.47
Dysfunctions associated with sleep stages or arousal from sleep, C0013373, ICD9CM, 780.56
Insomnia disorder related to known organic factor, C0021607, ICD9CM, 327.00
Alcohol-induced sleep disorder, C0236662, ICD9CM, 291.82
Hypersomnia disorder related to a known organic factor, C0270543, ICD9CM, 327.10
Specific disorders of sleep of non-organic origin, C0154564, ICD9CM, 307.4
