Guillain Barre
Generated by ADVANCE Code Mapper

History
Step, Arguments
vocabularies, ICD10, ICD10CM, ICD9CM, ICPC2P, RCD
semantic types, T020, T190, T049, T019, T047, T050, T033, T037, T048, T191, T046, T184, T007, T204, T004, T005
initial cuis, C0001272, C0003079, C0003241, C0003617, C0003811, C0004048, C0004134, C0004358, C0004623, C0005516, C0005682, C0006057, C0007584, C0007806, C0007807, C0008059, C0009392, C0009791, C0010268, C0011168, C0011906, C0012546, C0012569, C0013146, C0013362, C0013363, C0013839, C0015385, C0016895, C0017950, C0018378, C0018447, C0018563, C0020651, C0020852, C0021022, C0021270, C0022885, C0023216, C0023222, C0023516, C0023517, C0024264, C0026845, C0027551, C0027597, C0027740, C0027765, C0027769, C0027788, C0027868, C0027950, C0028378, C0028405, C0029089, C0030554, C0030664, C0032113, C0032134, C0032371, C0033095, C0033377, C0034121, C0034571, C0034929, C0035648, C0037943, C0037981, C0038894, C0038895, C0039239, C0039508, C0039712, C0040184, C0043309, C0061099, C0079460, C0079816, C0080274, C0080331, C0085217, C0085297, C0085584, C0085620, C0086143, C0086715, C0151786, C0151857, C0151888, C0152025, C0154017, C0154091, C0154936, C0178602, C0180677, C0199551, C0200125, C0200204, C0201943, C0202087, C0205186, C0205419, C0205494, C0206417, C0221163, C0221444, C0230348, C0231511, C0231800, C0232219, C0234084, C0234146, C0234222, C0234421, C0237766, C0241772, C0242465, C0245333, C0270921, C0270922, C0270934, C0277797, C0278134, C0305845, C0314809, C0332140, C0332218, C0332281, C0332290, C0333348, C0344315, C0347983, C0368582, C0376561, C0393799, C0410000, C0427055, C0427716, C0427874, C0428895, C0430067, C0432186, C0438221, C0439092, C0439662, C0439712, C0442874, C0444500, C0444956, C0445254, C0456695, C0456947, C0456948, C0456949, C0457019, C0460139, C0476273, C0476408, C0489815, C0496930, C0497294, C0501384, C0521026, C0521117, C0521346, C0521367, C0522028, C0522224, C0524465, C0542371, C0543467, C0547043, C0553794, C0558287, C0562381, C0579233, C0587246, C0596002, C0600420, C0612198, C0678544, C0678889, C0680063, C0683325, C0699375, C0707901, C0707989, C0708149, C0728899, C0740230, C0741307, C0751054, C0751401, C0869039, C0871468, C0935587, C0936236, C0978467, C0995754, C1096582, C1114758, C1140618, C1140621, C1145640, C1167988, C1258215, C1262068, C1269897, C1274039, C1280090, C1280538, C1281573, C1292726, C1295728, C1299392, C1299393, C1300574, C1301959, C1304757, C1306345, C1306645, C1442452, C1442465, C1442466, C1448373, C1457907, C1518030, C1518918, C1519815, C1521733, C1548671, C1551576, C1655045, C1704318, C1806780, C1836141, C1882041, C1882326, C1883562, C1947952, C1962945, C2004461, C2020625, C2348575, C2350584, C2698590, C2707247, C2964353, C2982003, C2986472, C3163632, C3176918, C3179154, C3540512, C3542501, C3714514, C3714552, C3817382, C3843496, C3846542
delete concept, C0027769

Concepts
Name, CUI, Vocabulary, Code
Urinary Retention, C0080274, ICD10, R33
Deglutition Disorders, C0011168, ICD10, R13
Poliomyelitis, C0032371, ICD10, A80
Poliomyelitis, C0032371, ICD10, A80.9
Diphtheria, C0012546, ICD10, A36
Diphtheria, C0012546, ICD10, A36.9
Cardiac Arrhythmia, C0003811, ICD10, I49.9
Bacterial Infections, C0004623, ICD10, A49
Bacterial Infections, C0004623, ICD10, A49.9
Guillain-Barre Syndrome, C0018378, ICD10, G61.0
nervous system disorder, C0027765, ICD10, G00-G99.9
Encephalopathies, C0085584, ICD10, G93.4
Polyneuropathy, C0152025, ICD10, G62.9
Diplopia, C0012569, ICD10, H53.2
Ataxia, C0004134, ICD10, R27.0
"Hypotension, Orthostatic", C0020651, ICD10, I95.1
Neuromuscular Diseases, C0027868, ICD10, G70.9
Benign neoplasm of bladder, C0154017, ICD10, D30.3
Carcinoma in situ of bladder, C0154091, ICD10, D09.0
Neoplasm of uncertain or unknown behavior of bladder, C0496930, ICD10, D41.4
Botulism, C0006057, ICD10, A05.1
Urinary Retention, C0080274, ICD10CM, R33
Urinary Retention, C0080274, ICD10CM, R33.9
Deglutition Disorders, C0011168, ICD10CM, R13.1
Deglutition Disorders, C0011168, ICD10CM, R13.10
Weakness, C3714552, ICD10CM, R53.1
Weakness, C3714552, ICD10CM, R53.81
Poliomyelitis, C0032371, ICD10CM, A80
Poliomyelitis, C0032371, ICD10CM, A80.9
Diphtheria, C0012546, ICD10CM, A36
Diphtheria, C0012546, ICD10CM, A36.9
Cardiac Arrhythmia, C0003811, ICD10CM, I49.9
Bacterial Infections, C0004623, ICD10CM, A49
Bacterial Infections, C0004623, ICD10CM, A49.9
Guillain-Barre Syndrome, C0018378, ICD10CM, G61.0
nervous system disorder, C0027765, ICD10CM, G00-G99
nervous system disorder, C0027765, ICD10CM, G98
nervous system disorder, C0027765, ICD10CM, G98.8
Encephalopathies, C0085584, ICD10CM, G93.40
Polyneuropathy, C0152025, ICD10CM, A69.22
Polyneuropathy, C0152025, ICD10CM, G62.9
Diplopia, C0012569, ICD10CM, H53.2
Ataxia, C0004134, ICD10CM, R27.0
"Hypotension, Orthostatic", C0020651, ICD10CM, I95.1
Neuromuscular Diseases, C0027868, ICD10CM, G70.9
Facial Paresis, C0427055, ICD10CM, R29.810
Pain in lower limb, C0023222, ICD10CM, M79.606
Pain in lower limb, C0023222, ICD10CM, M79.669
Benign neoplasm of bladder, C0154017, ICD10CM, D30.3
Carcinoma in situ of bladder, C0154091, ICD10CM, D09.0
Neoplasm of uncertain or unknown behavior of bladder, C0496930, ICD10CM, D41.4
Reduced vital capacity, C0476408, ICD10CM, R94.2
Anisocoria, C0003079, ICD10CM, H57.02
Botulism, C0006057, ICD10CM, A05.1
Pupillary abnormality, C0154936, ICD10CM, H21.56
Neuropathy, C0442874, ICD10CM, G62.9
Congenital absence of tendon, C0432186, ICD10CM, Q79.8
